6501,0
6601,0
6701,0
6801,0
6901,0
7001,0
7101,0
7201,0
7301,0
7401,0
14001,1
14101,1
14201,1
14301,1
14401,1
14501,1
14601,1
14701,1
14801,1
14901,1
6502,0
6602,0
6702,0
6802,0
6902,0
7002,0
7102,0
7202,0
7302,0
7402,0
14002,1
14102,1
14202,1
14302,1
14402,1
14502,1
14602,1
14702,1
14802,1
14902,1
6503,0
6603,0
6703,0
6803,0
6903,0
7003,0
7103,0
7203,0
7303,0
7403,0
14003,1
14103,1
14203,1
14303,1
14403,1
14503,1
14603,1
14703,1
14803,1
14903,1
6504,0
6604,0
6704,0
6804,0
6904,0
7004,0
7104,0
7204,0
7304,0
7404,0
14004,1
14104,1
14204,1
14304,1
14404,1
14504,1
14604,1
14704,1
14804,1
14904,1
