ID	text	label
200572	Disappointed in the lights. Bought two of these lights and they seemed to work when tested. I mean they turned on and responded to sound as was expected. During an event ( first use) these lights had problems and did not respond to the remote and the buttons in the back. Also could not get the lights to work with the DMX and could not be slaved. Fussed with the light trying everything possible but had no success. Very disappointed as I was very excited for these lights. Luckily we had bought and brought other par lights from other brands that we used with no issues. 	0
200844	Does that sound or feel like a guitar. I did not like the fact that it doesn't resemble the feel of a real guitar. I thought I was going to be to be able to practice playing on the go, but this was not the case. If you're looking for a practice tool to help you learn where to put your fingers I guess this would work. If you're looking for anything more than that this is not what you're looking for 	0
200938	One Star. Not a great buy for my 3 year old. Volume wouldn't stay low no matter what we tried 	0
201055	Random, loud static-even if I turn down volume.. Randomly super loud static sounds. Thought it was my cable and bought a new one-but no, its the amp. I have to turn it off all the time, then turn it back on to get the attic to go away. Just missed the return window. I'm stuck with it. 	0
201262	Don't waste your money. Absolute piece of junk. Display is so dim you can't read it, but that's not too important since it doesn't work at all to begin with. I finally got the metronome feature to work, but that's not what I bought this for. Waste of money. 	0
201286	Poor. the divits in the stick are so shallow they barely make any sound. Poor product 	0
201429	Goes off and on and is hard to use. I used this on an acoustic guitar and the day I got it it was hard to set it up so it would tune. It keep going light and then dark thought the battery was bad so changed it and problem was the same. Never did get to tune my guitar right . I would not recommend this tuner there are better ones available . 	0
201595	Not even close. NOT a G note. Tuner reads it vacillating between E and B and doesn’t even sound good at those notes. One star was generous. 	0
201871	Empty Envelope Delivered. For the second time I received an Amazon envelope unsealed and empty. I would like a replacement sent to me. I can send a photo of the empty envelope if that would help. 	0
201969	One Star. This is a toy at best. There is no sound variation, it all sounds the same. 	0
202258	Buy brand name. First time I used them at a school dance and one blew out after 1.5 hours of use. Spend the xtra money and buy brand name. 	0
202583	DON'T WASTE YOUR MONEY. I BOUGHT 2. I'M RETURNING 2. LESSON LEARNED.. OK UPDATED REVIEW NECK RATTLES I ASSUME FROM CRAPPY CHINA MADE DEAD FRETS UNFORTUNATLY I ALREADY INVESTED A TON OF TIME ON THE FOLLOWING; CLEAR COATS PRO FRET JOB, LEVELED SHAPED AND POLISHED. CHANGED OUT THE NUT DRILLED AND ADDED TUNERS WHICH WON'T FIT WITHOUT RE-DRILLING! SHAPED HEAL EO FIT POCKET WHICH IT WON'T WITHOUT WORK. 	0
202914	Bought two of these for xmas for my kids. .... Bought two of these for xmas for my kids. The microphones stopped working on both 3 days after they opened. No response from customer support. 	0
203109	Accurate description, accurate pictures.. Terrible, looks more black when the album is on the slip mat. Look close at the pictures, its a see through kind of color. Gross misrepresentation of the actual color. Nothing like what their showing, buyer beware. Now, i found the real deal on ebay, what you see, is what you get, but the price is twice as much but worth the correct color. The ebay labeled picture is what im buying and am returning these, mine as well just buy the black serato vinyl from amazon, those will be the correct color. 	0
203445	One Star. Cord were not strong enough. Students pull them apart within a month 	0
