ID	text	label
600009	2回目の使用で壊れる。. 2回目の使用で壊れました。 安かろう悪かろうですね。 下山まで完全破壊までは行かず無事に帰れて良かったですが、怪我につながるものはしっかりとしたものを選んで買うべきと反省しました。 	0
600017	壊れやすいです。. 同じ製品を2度購入しましたが、1年以内にどちらも破損しました。電池を入れる部分が壊れるようです。ちなみに友人も同箇所を破損しています。デザイン・明るさは十分なのですが・・・ 	0
600043	はずれ？. 縫製最悪、あちこちから糸が出ている。ほつれも有り。チャックも開閉時に布に挟まり易い。薄いわりには温かいが、所詮2000円レベル。ワンシーズンで使い捨てか？ 	0
600045	だまされました. だまされました サイズがぜんぜんちがいます 	0
600051	説明書が英文. 解読(ウォッチの使い方)するだけで時間がかかりましたので、☆は1にしました。説明書-日本語版にして頂ければ、☆が上がっていた。初めてウォッチ購入する事を考えている、英語苦手な方にはこれを購入するのおすすめ出来ません。 	0
600063	プラスティックが破れました！. ２ヶ月でスマホ ホルダーのプラスティックが破れました！ 	0
600066	破れ安物. 安物感が凄い！届いてすぐに広げてみたら、破れが二ヶ所ありました。即返品しました。あまりオススメはできない商品ですねー！残念ながら 	0
600069	がっかり. 重い荷物を入れて段差がある所を通った瞬間にかごが下に傾く 何度も固定をやり直しても駄目なので使えない 	0
600085	最悪です. 3月23日に購入した時に、到着が25日になってたので安心してたら、25日の朝5時前にメールが届いて、発送が遅れてますとのこと。結局28日に到着予定になりました。日にちがずれるのは最悪です。 	0
600088	すぐに壊れた、充電器。. 購入後一週間で充電するUSB差し込み口が挿入できなくなり、サポートにメールしたのですが、返信がないです。 諦めました。使い捨て感覚で売ってるのか、いい加減でした。 	0
600094	強度がない。. 2回目の使用で注ぎ口から水漏れ、安物買いの銭失いとはよく言ったものです💦同メーカーの製品は二度と買わないですね('`:) 	0
600095	届かない. 10/12日に注文して10/25までに届く予定でしたが届きません。 出品者に連絡したところ11/10まで待てと連絡きました。 一ヶ月待てる人なら注文してもいいと思います。 	0
600110	用途によっては使えない. アスファルトで使うのに探して余したが土か、括り付けないと使えないので使用出来ませんでした。 購入時の説明にはかいていませんでした。 当日集まった方に大変迷惑をかけました。 	0
